"","age","marital","income","gender","jobsat"
"1",55,"Married",72,"Female","Highly satisfied"
"2",56,"Unmarried",153,"Male","Somewhat satisfied"
"3",28,"Married",28,"Female","Neutral"
"4",24,"Married",26,"Male","Highly dissatisfied"
"5",25,"Unmarried",23,"Male","Somewhat dissatisfied"
"6",45,"Married",76,"Male","Somewhat dissatisfied"
"7",42,"Unmarried",40,"Male","Somewhat dissatisfied"
"8",35,"Unmarried",57,"Female","Highly dissatisfied"
"9",46,"Unmarried",24,"Female","Highly satisfied"
"10",34,"Married",89,"Male","Somewhat satisfied"
"11",55,"Married",72,"Female","Neutral"
"12",28,"Unmarried",24,"Male","Highly satisfied"
"13",31,"Married",40,"Female","Somewhat dissatisfied"
"14",42,"Unmarried",137,"Female","Highly dissatisfied"
"15",35,"Unmarried",70,"Male","Somewhat satisfied"
"16",52,"Married",159,"Male","Highly satisfied"
"17",21,"Married",37,"Male","Highly dissatisfied"
"18",32,"Unmarried",28,"Female","Somewhat satisfied"
"19",42,"Unmarried",109,"Female","Neutral"
"20",40,"Married",117,"Female","Highly satisfied"
"21",30,"Unmarried",23,"Male","Neutral"
"22",48,"Unmarried",21,"Male","Neutral"
"23",39,"Married",17,"Male","Neutral"
"24",42,"Married",34,"Female","Neutral"
"25",45,"Married",115,"Female","Somewhat satisfied"
"26",51,"Married",47,"Male","Neutral"
"27",39,"Married",33,"Male","Highly dissatisfied"
"28",49,"Unmarried",135,"Female","Highly satisfied"
"29",52,"Unmarried",272,"Male","Highly satisfied"
"30",53,"Married",41,"Male","Somewhat satisfied"
"31",34,"Unmarried",20,"Female","Highly dissatisfied"
"32",47,"Married",22,"Male","Somewhat satisfied"
"33",58,"Unmarried",60,"Male","Highly dissatisfied"
"34",25,"Married",58,"Female","Somewhat dissatisfied"
"35",57,"Married",92,"Female","Highly satisfied"
"36",30,"Married",21,"Male","Highly dissatisfied"
"37",21,"Unmarried",13,"Female","Highly dissatisfied"
"38",24,"Unmarried",24,"Female","Neutral"
"39",56,"Unmarried",213,"Female","Somewhat satisfied"
"40",24,"Unmarried",19,"Male","Neutral"
"41",41,"Unmarried",59,"Male","Neutral"
"42",57,"Married",544,"Female","Somewhat dissatisfied"
"43",32,"Unmarried",32,"Male","Highly satisfied"
"44",24,"Unmarried",35,"Male","Somewhat dissatisfied"
"45",49,"Married",35,"Male","Neutral"
"46",21,"Unmarried",22,"Female","Highly dissatisfied"
"47",33,"Married",39,"Female","Somewhat dissatisfied"
"48",56,"Unmarried",134,"Male","Neutral"
"49",54,"Married",103,"Male","Somewhat dissatisfied"
"50",44,"Married",240,"Female","Neutral"
"51",20,"Unmarried",20,"Male","Somewhat dissatisfied"
"52",47,"Unmarried",118,"Male","Highly satisfied"
"53",48,"Unmarried",78,"Female","Somewhat satisfied"
"54",25,"Unmarried",68,"Female","Somewhat dissatisfied"
"55",52,"Unmarried",27,"Male","Somewhat dissatisfied"
"56",38,"Married",19,"Female","Highly dissatisfied"
"57",65,"Married",20,"Male","Neutral"
"58",28,"Married",31,"Male","Neutral"
"59",51,"Married",51,"Male","Neutral"
"60",61,"Married",84,"Male","Neutral"
"61",46,"Married",133,"Male","Highly satisfied"
"62",43,"Married",109,"Female","Neutral"
"63",28,"Unmarried",24,"Male","Somewhat dissatisfied"
"64",39,"Unmarried",57,"Female","Somewhat dissatisfied"
"65",37,"Unmarried",24,"Male","Highly dissatisfied"
"66",59,"Married",32,"Male","Highly dissatisfied"
"67",55,"Unmarried",65,"Female","Somewhat satisfied"
"68",51,"Married",70,"Male","Neutral"
"69",48,"Married",321,"Male","Somewhat satisfied"
"70",40,"Unmarried",71,"Male","Somewhat dissatisfied"
"71",28,"Unmarried",35,"Female","Highly satisfied"
"72",39,"Married",85,"Male","Highly satisfied"
"73",30,"Married",20,"Female","Somewhat satisfied"
"74",40,"Married",33,"Female","Highly satisfied"
"75",55,"Unmarried",35,"Female","Somewhat dissatisfied"
"76",48,"Married",50,"Female","Neutral"
"77",48,"Married",1116,"Male","Highly satisfied"
"78",49,"Married",89,"Female","Highly satisfied"
"79",56,"Unmarried",376,"Female","Highly satisfied"
"80",44,"Unmarried",54,"Male","Neutral"
"81",43,"Unmarried",68,"Male","Neutral"
"82",61,"Married",117,"Female","Somewhat satisfied"
"83",37,"Unmarried",29,"Male","Somewhat satisfied"
"84",29,"Married",25,"Male","Somewhat dissatisfied"
"85",30,"Married",27,"Female","Somewhat dissatisfied"
"86",48,"Unmarried",129,"Male","Highly satisfied"
"87",51,"Married",140,"Male","Somewhat satisfied"
"88",40,"Married",57,"Male","Neutral"
"89",66,"Married",30,"Female","Somewhat satisfied"
"90",61,"Married",23,"Male","Somewhat satisfied"
"91",61,"Married",64,"Female","Highly satisfied"
"92",32,"Married",26,"Male","Somewhat satisfied"
"93",25,"Unmarried",27,"Male","Highly dissatisfied"
"94",47,"Unmarried",28,"Male","Neutral"
"95",59,"Married",209,"Female","Highly satisfied"
"96",25,"Married",27,"Female","Highly dissatisfied"
"97",63,"Married",478,"Male","Somewhat satisfied"
"98",41,"Unmarried",49,"Male","Somewhat dissatisfied"
"99",66,"Unmarried",30,"Male","Somewhat dissatisfied"
"100",20,"Unmarried",36,"Male","Somewhat dissatisfied"
"101",47,"Married",62,"Male","Neutral"
"102",42,"Unmarried",49,"Female","Neutral"
"103",35,"Married",49,"Female","Somewhat satisfied"
"104",24,"Unmarried",23,"Male","Neutral"
"105",22,"Unmarried",23,"Female","Neutral"
"106",32,"Married",59,"Male","Somewhat dissatisfied"
"107",50,"Married",58,"Male","Highly satisfied"
